Município;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago
150277 CURIONOPOLIS;50;30;57;38;36;23;20;21;35;13;15;7;13;13;14;11;-;-;-;-
150280 CURRALINHO;34;20;26;24;27;31;24;-;21;13;13;20;21;14;6;6;11;15;-;-
150285 CURUA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150290 CURUCA;22;18;47;44;38;33;34;10;11;17;18;16;23;21;21;22;15;13;-;-
150293 DOM ELISEU;18;35;50;89;83;44;33;23;13;26;25;45;39;36;16;25;17;5;-;-
150295 ELDORADO DOS CARAJAS;20;33;26;20;24;45;33;57;30;19;25;13;15;17;15;13;29;17;20;-
150300 FARO;3;-;6;1;12;6;12;14;5;-;-;-;-;3;6;8;3;3;4;3
150304 FLORESTA DO ARAGUAIA;29;36;41;51;65;48;66;40;44;31;27;46;33;41;15;5;14;16;17;24
150307 GARRAFAO DO NORTE;9;8;9;31;12;3;3;9;4;3;3;3;4;7;8;9;6;9;7;5
150309 GOIANESIA DO PARA;9;18;25;18;46;26;15;1;10;11;9;47;43;17;10;10;16;17;-;-
150310 GURUPA;19;21;12;12;7;7;18;20;12;14;17;15;9;10;14;23;22;10;4;7
150320 IGARAPE-ACU;33;24;65;44;40;43;34;25;16;12;12;17;13;17;16;9;8;13;-;-
150330 IGARAPE-MIRI;97;92;124;119;94;109;115;110;148;160;177;216;163;93;123;148;152;154;158;50
150340 INHANGAPI;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-
150345 IPIXUNA DO PARA;79;56;80;90;82;68;53;78;98;58;64;68;58;30;39;38;36;39;44;12
150350 IRITUIA;-;4;21;22;20;11;15;8;14;10;18;21;19;15;9;14;-;-;-;-
150360 ITAITUBA;167;287;357;195;74;65;41;58;37;45;42;76;83;50;29;31;8;9;5;5
150370 ITUPIRANGA;37;29;35;50;76;57;30;38;16;12;13;17;20;11;12;14;6;7;13;9
150375 JACAREACANGA;-;-;-;-;1;7;3;1;2;1;2;11;-;26;12;10;3;11;7;4
150380 JACUNDA;28;29;33;60;81;37;33;27;22;23;18;19;22;26;28;28;27;19;-;-
150390 JURUTI;59;76;43;31;19;18;17;8;5;6;13;1;12;1;2;-;3;2;1;-
150400 LIMOEIRO DO AJURU;6;17;22;45;33;34;35;38;40;35;27;30;23;16;18;29;26;22;36;18
150405 MAE DO RIO;23;24;80;89;73;70;15;44;29;17;17;48;34;38;33;27;23;41;42;-
150410 MAGALHAES BARATA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150420 MARABA;170;149;228;335;362;288;178;111;72;70;92;110;143;75;65;37;45;44;28;3
150430 MARACANA;5;-;51;19;10;7;7;4;7;1;3;2;6;1;3;1;-;2;1;-
150440 MARAPANIM;-;-;-;-;1;1;4;3;2;3;6;-;3;3;1;2;1;1;3;-
150442 MARITUBA;47;43;127;100;35;49;47;40;52;38;39;33;46;38;34;27;29;24;24;20
150445 MEDICILANDIA;16;12;23;21;33;29;22;16;22;23;42;20;24;21;9;11;7;10;22;11
150450 MELGACO;5;14;13;8;11;9;11;28;17;27;12;4;14;10;10;11;16;17;8;7
150460 MOCAJUBA;68;51;49;69;55;36;70;49;37;35;26;32;33;51;46;41;26;28;26;-
150470 MOJU;10;17;52;45;27;36;21;26;17;7;22;23;24;15;9;21;8;20;19;-
150475 MOJUI DOS CAMPOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150480 MONTE ALEGRE;77;99;97;56;41;31;24;13;13;12;20;34;26;32;10;15;14;11;23;-
150490 MUANA;19;17;13;7;17;22;21;26;26;27;31;23;29;9;12;7;8;-;-;-
150495 NOVA ESPERANCA DO PIRIA;7;10;-;18;14;2;3;5;4;1;1;1;5;1;3;8;8;5;-;-
150497 NOVA IPIXUNA;10;3;6;16;15;14;3;1;2;3;10;2;4;5;1;3;2;-;-;-
150500 NOVA TIMBOTEUA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150503 NOVO PROGRESSO;22;29;56;22;12;36;13;13;4;6;2;9;15;6;5;5;5;3;1;8
150506 NOVO REPARTIMENTO;14;11;45;61;51;62;31;19;18;14;11;6;8;5;8;6;4;1;-;-
150510 OBIDOS;37;24;14;25;41;36;26;50;43;48;34;49;32;34;31;32;24;29;-;-
150520 OEIRAS DO PARA;21;6;20;16;11;18;13;16;18;11;20;17;13;17;10;11;17;19;18;1
150530 ORIXIMINA;114;112;85;85;61;52;37;23;21;18;33;41;36;38;27;34;33;30;31;-
150540 OUREM;21;11;28;45;37;29;25;14;12;20;11;26;13;8;16;15;9;11;5;-
150543 OURILANDIA DO NORTE;69;55;61;101;102;76;56;35;53;55;48;80;70;50;57;25;27;13;56;16
150548 PACAJA;52;23;48;63;34;39;28;15;28;38;43;45;31;41;18;18;19;-;-;-
150549 PALESTINA DO PARA;17;7;13;16;27;16;11;35;15;25;57;62;22;4;-;-;-;-;-;-
150550 PARAGOMINAS;77;71;146;130;103;89;48;29;23;19;22;51;56;33;12;11;9;14;10;-
150553 PARAUAPEBAS;79;31;38;38;40;23;22;25;26;35;35;76;101;45;55;44;34;28;32;-
150555 PAU D'ARCO;4;4;25;35;16;13;13;3;3;4;3;7;7;8;5;9;8;7;3;4
150560 PEIXE-BOI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150563 PICARRA;17;22;28;15;21;16;16;12;14;15;28;17;23;27;26;9;7;8;23;15
150565 PLACAS;25;17;45;33;41;26;33;27;25;27;40;30;35;23;8;33;40;20;11;-
